Variable, Group0,1
1,2
2,3
3,2
4,4
5,6
6,6
7,5
8,6
9,2
10,1
11,2
12,2
13,6
14,2
15,1
16,2
17,2
18,6
19,2
20,6
21,2
22,2
23,5
24,2
25,6
26,3
27,6
28,1
29,2
30,5
31,2
32,2
33,2
34,6
35,2
36,4
37,2
38,6
39,2
40,2
41,4
42,6
43,1
44,6
45,2
46,2
47,6
48,2
49,2
50,2
51,6
52,6
53,2
54,2
55,1
56,2
57,1
58,2
59,2
60,2
61,2
62,2
63,6
64,5
65,2
66,2
67,2
68,5
69,2
70,2
71,6
72,5
73,2
74,1
75,6
76,2
77,2
78,2
79,2
80,5
81,2
82,2
83,2
84,2
85,2
86,1
87,2
88,2
89,6
90,4
91,1
92,6
93,2
94,1
95,2
96,2
97,6
98,6
99,2
