FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F20,10,0.1,10,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9,)]",[9]
F20,10,0.001,10,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9,)]",[9]
F20,10,1e-06,10,"[(0, 1, 3, 4, 5), (1, 2, 3, 4, 8), (2, 3, 5), (3, 4), (4, 5, 7, 8), (5, 6), (6, 7), (7, 8), (8, 9), (9,)]",[9]
F20,10,1e-09,10,"[(0, 1, 3, 4, 5), (1, 2, 3, 4, 8), (2, 3, 5), (3, 4), (4, 5, 7, 8), (5, 6), (6, 7), (7, 8), (8, 9), (9,)]",[9]
F20,20,0.1,20,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (15, 16), (16, 17), (17, 18), (18, 19), (19,)]",[19]
F20,20,0.001,20,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (15, 16), (16, 17), (17, 18), (18, 19), (19,)]",[19]
F20,20,1e-06,20,"[(0, 1, 3, 4, 5, 6, 7, 9, 11, 13, 15, 16), (1, 2, 13, 16, 17), (2, 3, 4, 5, 6, 7, 9, 11, 13, 15, 16), (3, 4, 17), (4, 5, 6, 9, 13, 14, 15, 16), (5, 6, 7, 9, 13, 15, 16), (6, 7, 8, 11, 13, 14, 15, 16), (7, 8, 13, 14, 16), (8, 9, 13, 14, 16), (9, 10, 13, 15, 16), (10, 11, 13, 15, 16), (11, 12, 16, 17), (12, 13, 15, 16), (13, 14, 15, 16), (14, 15, 16, 17), (15, 16), (16, 17), (17, 18), (18, 19), (19,)]",[19]
F20,20,1e-09,20,"[(0, 1, 3, 4, 5, 6, 7, 9, 11, 13, 15, 16), (1, 2, 13, 16, 17), (2, 3, 4, 5, 6, 7, 9, 11, 13, 15, 16), (3, 4, 17), (4, 5, 6, 9, 13, 14, 15, 16), (5, 6, 7, 9, 13, 15, 16), (6, 7, 8, 11, 13, 14, 15, 16), (7, 8, 13, 14, 16), (8, 9, 13, 14, 16), (9, 10, 13, 15, 16), (10, 11, 13, 15, 16), (11, 12, 16, 17), (12, 13, 15, 16), (13, 14, 15, 16), (14, 15, 16, 17), (15, 16), (16, 17), (17, 18), (18, 19), (19,)]",[19]
F20,30,0.1,30,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (15, 16), (16, 17), (17, 18), (18, 19), (19, 20), (20, 21), (21, 22), (22, 23), (23, 24), (24, 25), (25, 26), (26, 27), (27, 28), (28, 29), (29,)]",[29]
F20,30,0.001,30,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (15, 16), (16, 17), (17, 18), (18, 19), (19, 20), (20, 21), (21, 22), (22, 23), (23, 24), (24, 25), (25, 26), (26, 27), (27, 28), (28, 29), (29,)]",[29]
F20,30,1e-06,30,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 20), (1, 2, 7, 8, 13, 14, 15, 16, 20), (2, 3, 7, 13, 15), (3, 4, 7, 8, 13, 14, 15, 20), (4, 5, 6, 7, 8, 9, 13, 14, 15, 16, 20), (5, 6, 7, 8, 9, 13, 14, 15, 16, 20), (6, 7, 8, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28), (7, 8, 13, 14, 15, 16, 20), (8, 9, 13, 14, 15, 16, 20), (9, 10, 13, 15), (10, 11, 13, 15), (11, 12, 13, 14, 15, 16, 20), (12, 13, 14, 15, 16, 20), (13, 14, 15, 16, 20), (14, 15, 16, 17, 20), (15, 16), (16, 17, 20), (17, 18), (18, 19, 20), (19, 20), (20, 21, 22), (21, 22), (22, 23), (23, 24), (24, 25), (25, 26), (26, 27), (27, 28), (28, 29), (29,)]",[29]
F20,30,1e-09,30,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 20), (1, 2, 7, 8, 13, 14, 15, 16, 20), (2, 3, 7, 13, 15), (3, 4, 7, 8, 13, 14, 15, 20), (4, 5, 6, 7, 8, 9, 13, 14, 15, 16, 20), (5, 6, 7, 8, 9, 13, 14, 15, 16, 20), (6, 7, 8, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28), (7, 8, 13, 14, 15, 16, 20), (8, 9, 13, 14, 15, 16, 20), (9, 10, 13, 15), (10, 11, 13, 15), (11, 12, 13, 14, 15, 16, 20), (12, 13, 14, 15, 16, 20), (13, 14, 15, 16, 20), (14, 15, 16, 17, 20), (15, 16), (16, 17, 20), (17, 18), (18, 19, 20), (19, 20), (20, 21, 22), (21, 22), (22, 23), (23, 24), (24, 25), (25, 26), (26, 27), (27, 28), (28, 29), (29,)]",[29]
F20,40,0.1,40,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 15), (15, 16), (16, 17), (17, 18), (18, 19), (19, 20), (20, 21), (21, 22), (22, 23), (23, 24), (24, 25), (25, 26), (26, 27), (27, 28), (28, 29), (29, 30), (30, 31), (31, 32), (32, 33), (33, 34), (34, 35), (35, 36), (36, 37), (37, 38), (38, 39), (39,)]",[39]
