FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F8,10,0.1,9,"[(0, 4, 8), (1, 4, 5, 8), (2, 4, 8, 9), (3, 4, 5), (4, 5, 8, 9), (5, 8), (7, 8), (8, 9), (6, 9)]","[6, 9]"
F8,10,0.001,9,"[(0, 4, 8), (1, 4, 5, 8), (2, 4, 8, 9), (3, 4, 5), (4, 5, 8, 9), (5, 8), (7, 8), (8, 9), (6, 9)]","[6, 9]"
F8,10,1e-06,9,"[(0, 4, 8), (1, 4, 5, 8), (2, 4, 8, 9), (3, 4, 5), (4, 5, 8, 9), (5, 8), (7, 8), (8, 9), (6, 9)]","[6, 9]"
F8,10,1e-09,9,"[(0, 4, 8), (1, 4, 5, 8), (2, 4, 8, 9), (3, 4, 5), (4, 5, 8, 9), (5, 8), (7, 8), (8, 9), (6, 9)]","[6, 9]"
F8,20,0.1,17,"[(0, 1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19), (1, 4, 10, 12, 15, 16, 17, 18, 19), (2, 4, 10, 12, 16, 17, 19), (3, 4, 10, 12, 16, 17, 19), (4, 10, 12, 15, 16, 17, 19), (5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19), (8, 19), (9, 10, 12, 15, 16, 17, 19), (10, 12, 15, 16, 17, 19), (11, 12, 15, 16, 17, 19), (12, 15, 16, 17, 19), (13, 16, 17, 19), (14, 15, 16, 17, 19), (15, 16), (16, 17, 19), (17, 19), (6, 7, 18, 19)]","[6, 7, 18, 19]"
F8,20,0.001,17,"[(0, 1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19), (1, 4, 10, 12, 15, 16, 17, 18, 19), (2, 4, 10, 12, 16, 17, 19), (3, 4, 10, 12, 16, 17, 19), (4, 10, 12, 15, 16, 17, 19), (5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19), (8, 19), (9, 10, 12, 15, 16, 17, 19), (10, 12, 15, 16, 17, 19), (11, 12, 15, 16, 17, 19), (12, 15, 16, 17, 19), (13, 16, 17, 19), (14, 15, 16, 17, 19), (15, 16), (16, 17, 19), (17, 19), (6, 7, 18, 19)]","[6, 7, 18, 19]"
F8,20,1e-06,17,"[(0, 1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19), (1, 4, 10, 12, 15, 16, 17, 18, 19), (2, 4, 10, 12, 16, 17, 19), (3, 4, 10, 12, 16, 17, 19), (4, 10, 12, 15, 16, 17, 19), (5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19), (8, 19), (9, 10, 12, 15, 16, 17, 19), (10, 12, 15, 16, 17, 19), (11, 12, 15, 16, 17, 19), (12, 15, 16, 17, 19), (13, 16, 17, 19), (14, 15, 16, 17, 19), (15, 16), (16, 17, 19), (17, 19), (6, 7, 18, 19)]","[6, 7, 18, 19]"
F8,20,1e-09,17,"[(0, 1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19), (1, 4, 10, 12, 15, 16, 17, 18, 19), (2, 4, 10, 12, 16, 17, 19), (3, 4, 10, 12, 16, 17, 19), (4, 10, 12, 15, 16, 17, 19), (5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19), (8, 19), (9, 10, 12, 15, 16, 17, 19), (10, 12, 15, 16, 17, 19), (11, 12, 15, 16, 17, 19), (12, 15, 16, 17, 19), (13, 16, 17, 19), (14, 15, 16, 17, 19), (15, 16), (16, 17, 19), (17, 19), (6, 7, 18, 19)]","[6, 7, 18, 19]"
F8,30,0.1,25,"[(0, 1, 2, 4, 5, 6, 7, 18, 20, 22, 23, 25), (1, 2, 4, 5, 6, 7, 18, 20, 22, 23, 25), (2, 5, 7, 11, 13, 16, 18, 21, 23, 24, 25, 28), (3, 4, 5, 6, 7, 13, 18, 20, 22, 23, 24, 25, 27, 29), (4, 5, 6, 7, 18, 20, 22, 23, 25), (5, 18), (6, 7, 18, 20, 22, 23, 25), (7, 13, 26), (8, 9, 13, 14, 17, 26), (9, 11, 12, 13, 15, 18, 20, 22, 23, 24, 25, 27, 29), (10, 13, 28), (11, 18, 20, 22, 23, 25), (12, 18, 20, 22, 23, 25), (13, 14, 18, 28), (14, 15, 18, 20, 22, 23, 24, 25, 27, 29), (15, 18, 20, 22, 23, 24, 25), (17, 26), (18, 20, 22, 23, 25), (21, 25), (22, 26), (23, 25), (24, 26), (26, 27, 29), (27, 29), (16, 19, 20, 25, 28, 29)]","[16, 19, 20, 25, 28, 29]"
F8,30,0.001,25,"[(0, 1, 2, 4, 5, 6, 7, 18, 20, 22, 23, 25), (1, 2, 4, 5, 6, 7, 18, 20, 22, 23, 25), (2, 5, 7, 11, 13, 16, 18, 21, 23, 24, 25, 28), (3, 4, 5, 6, 7, 13, 18, 20, 22, 23, 24, 25, 27, 29), (4, 5, 6, 7, 18, 20, 22, 23, 25), (5, 18), (6, 7, 18, 20, 22, 23, 25), (7, 13, 26), (8, 9, 13, 14, 17, 26), (9, 11, 12, 13, 15, 18, 20, 22, 23, 24, 25, 27, 29), (10, 13, 28), (11, 18, 20, 22, 23, 25), (12, 18, 20, 22, 23, 25), (13, 14, 18, 28), (14, 15, 18, 20, 22, 23, 24, 25, 27, 29), (15, 18, 20, 22, 23, 24, 25), (17, 26), (18, 20, 22, 23, 25), (21, 25), (22, 26), (23, 25), (24, 26), (26, 27, 29), (27, 29), (16, 19, 20, 25, 28, 29)]","[16, 19, 20, 25, 28, 29]"
