FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F13,10,0.1,3,"[(2, 8), (4, 8, 9), (0, 1, 3, 5, 6, 7, 8, 9)]","[0, 1, 3, 5, 6, 7, 8, 9]"
F13,10,0.001,3,"[(2, 8), (4, 8, 9), (0, 1, 3, 5, 6, 7, 8, 9)]","[0, 1, 3, 5, 6, 7, 8, 9]"
F13,10,1e-06,4,"[(2, 3, 4, 5, 7, 8, 9), (4, 5, 7, 8, 9), (8, 9), (0, 1, 3, 5, 6, 7, 9)]","[0, 1, 3, 5, 6, 7, 9]"
F13,10,1e-09,9,"[(0, 2, 4, 5, 6, 7, 8), (2, 3, 4, 5, 7, 8, 9), (3, 4, 5, 6, 7, 8), (4, 5, 7, 8, 9), (5, 6, 7, 8), (6, 7, 8), (7, 8), (8, 9), (1, 9)]","[1, 9]"
F13,20,0.1,5,"[(1, 18, 19), (6, 13, 17), (8, 19), (10, 17), (0, 2, 3, 4, 5, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19)]","[0, 2, 3, 4, 5, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
F13,20,0.001,5,"[(1, 18, 19), (6, 13, 17), (8, 19), (10, 17), (0, 2, 3, 4, 5, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19)]","[0, 2, 3, 4, 5, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
F13,20,1e-06,13,"[(0, 5, 17), (1, 6, 8, 9, 12, 14, 15, 16, 17, 18, 19), (3, 7), (5, 7, 12, 16, 17), (6, 13, 17), (8, 18, 19), (10, 17), (11, 12, 15, 16, 17), (15, 16, 17), (16, 17), (17, 18, 19), (18, 19), (2, 4, 7, 9, 12, 13, 14, 19)]","[2, 4, 7, 9, 12, 13, 14, 19]"
F13,20,1e-09,13,"[(0, 5, 17), (1, 6, 8, 9, 12, 14, 15, 16, 17, 18, 19), (3, 7), (5, 7, 12, 16, 17), (6, 13, 17), (8, 18, 19), (10, 17), (11, 12, 15, 16, 17), (15, 16, 17), (16, 17), (17, 18, 19), (18, 19), (2, 4, 7, 9, 12, 13, 14, 19)]","[2, 4, 7, 9, 12, 13, 14, 19]"
F13,30,0.1,8,"[(2, 28), (5, 16, 22), (10, 13), (11, 27), (13, 28), (17, 22), (24, 26, 27), (0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29)]","[0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]"
F13,30,0.001,8,"[(2, 28), (5, 16, 22), (10, 13), (11, 27), (13, 28), (17, 22), (24, 26, 27), (0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29)]","[0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29]"
