FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F6,10,0.1,4,"[(2, 4, 8, 9), (4, 8, 9), (8, 9), (0, 1, 3, 5, 6, 7, 9)]","[0, 1, 3, 5, 6, 7, 9]"
F6,10,0.001,4,"[(2, 4, 8, 9), (4, 8, 9), (8, 9), (0, 1, 3, 5, 6, 7, 9)]","[0, 1, 3, 5, 6, 7, 9]"
F6,10,1e-06,5,"[(0, 1), (2, 4, 8, 9), (4, 8, 9), (8, 9), (1, 3, 5, 6, 7, 9)]","[1, 3, 5, 6, 7, 9]"
F6,10,1e-09,9,"[(0, 1, 3, 5, 6, 7), (1, 3, 5, 6, 7), (2, 4, 8, 9), (3, 5, 6, 7), (4, 8, 9), (5, 6, 7), (6, 7), (8, 9), (7, 9)]","[7, 9]"
F6,20,0.1,4,"[(1, 8, 18, 19), (8, 18, 19), (18, 19), (0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]"
F6,20,0.001,4,"[(1, 8, 18, 19), (8, 18, 19), (18, 19), (0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]"
F6,20,1e-06,4,"[(1, 8, 18, 19), (8, 18, 19), (18, 19), (0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]"
F6,20,1e-09,18,"[(0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17), (1, 8, 18, 19), (2, 3, 4, 5, 6, 9, 10, 11, 13, 14, 15, 16, 17), (3, 4, 6, 7, 10, 12, 14, 15, 16), (4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17), (5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17), (6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17), (7, 9, 10, 11, 12, 13, 14, 15, 16, 17), (8, 18, 19), (9, 10, 11, 12, 13, 14, 15, 16, 17), (10, 11, 13, 14, 15, 16, 17), (11, 12, 13, 14, 15, 16, 17), (12, 13, 14, 15, 16, 17), (13, 14, 15, 16, 17), (14, 15, 16, 17), (15, 16, 17), (18, 19), (16, 17, 19)]","[16, 17, 19]"
F6,30,0.1,4,"[(2, 10, 13, 28), (10, 13, 28), (13, 28), (0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
F6,30,0.001,4,"[(2, 10, 13, 28), (10, 13, 28), (13, 28), (0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
