Variable, Group0,1
1,4
2,1
3,4
4,1
5,1
6,2
7,4
8,2
9,1
10,1
11,1
12,2
13,2
14,2
15,1
16,2
17,1
18,1
19,4
20,2
21,2
22,1
23,2
24,1
25,2
26,1
27,1
28,1
29,2
30,2
31,2
32,2
33,1
34,1
35,1
36,1
37,2
38,2
39,2
40,2
41,2
42,2
43,1
44,2
45,1
46,2
47,3
48,2
49,2
50,1
51,2
52,2
53,2
54,2
55,4
56,1
57,1
58,1
59,2
60,2
61,2
62,2
63,2
64,1
65,2
66,3
67,1
68,2
69,2
70,1
71,2
72,2
73,2
74,1
75,1
76,1
77,1
78,2
79,4
80,1
81,2
82,1
83,2
84,2
85,2
86,1
87,2
88,2
89,3
90,1
91,2
92,2
93,3
94,2
95,2
96,1
97,1
98,2
99,2
