Variable, Group0,12
1,12
2,1
3,2
4,12
5,12
6,3
7,4
8,5
9,12
10,12
11,12
12,12
13,1
14,12
15,6
16,12
17,6
18,7
19,12
20,12
21,12
22,3
23,12
24,8
25,12
26,12
27,7
28,12
29,12
30,9
31,12
32,12
33,5
34,12
35,12
36,12
37,12
38,12
39,12
40,6
41,12
42,12
43,12
44,12
45,9
46,12
47,12
48,12
49,12
50,7
51,12
52,12
53,1
54,10
55,11
56,8
57,12
58,12
59,11
60,12
61,3
62,2
63,5
64,12
65,12
66,9
67,12
68,12
69,12
70,12
71,12
72,12
73,10
74,11
75,12
76,12
77,8
78,4
79,12
80,10
81,12
82,2
83,12
84,12
85,12
86,12
87,12
88,12
89,4
