Variable, Group0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,26
9,9
10,10
11,11
12,26
13,8
14,12
15,5
16,13
17,5
18,14
19,12
20,15
21,9
22,16
23,11
24,16
25,17
26,3
27,26
28,1
29,26
30,26
31,10
32,18
33,16
34,1
35,11
36,26
37,17
38,6
39,19
40,26
41,26
42,2
43,4
44,26
45,7
46,26
47,20
48,7
49,21
50,26
51,22
52,26
53,23
54,23
55,26
56,14
57,26
58,19
59,26
60,24
61,2
62,4
63,14
64,20
65,19
66,10
67,20
68,22
69,26
70,25
71,26
72,15
73,26
74,26
75,13
76,24
77,26
78,8
79,18
80,26
81,17
82,24
83,9
84,26
85,18
86,3
87,25
88,25
89,12
90,22
91,6
92,26
93,13
94,15
95,23
96,26
97,21
98,21
99,26
