FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F19,10,0.1,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8), (9,)]",[9]
F19,10,0.001,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8), (9,)]",[9]
F19,10,1e-06,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8), (9,)]",[9]
F19,10,1e-09,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8), (9,)]",[9]
F19,20,0.1,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18), (19,)]",[19]
F19,20,0.001,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18), (19,)]",[19]
F19,20,1e-06,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18), (19,)]",[19]
F19,20,1e-09,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18), (19,)]",[19]
F19,30,0.1,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28), (29,)]",[29]
F19,30,0.001,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28), (29,)]",[29]
F19,30,1e-06,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28), (29,)]",[29]
F19,30,1e-09,2,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28), (29,)]",[29]
