FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F12,10,0.1,3,"[(2, 4, 8), (4, 8), (0, 1, 3, 5, 6, 7, 8, 9)]","[0, 1, 3, 5, 6, 7, 8, 9]"
F12,10,0.001,3,"[(2, 4, 8), (4, 8), (0, 1, 3, 5, 6, 7, 8, 9)]","[0, 1, 3, 5, 6, 7, 8, 9]"
F12,10,1e-06,3,"[(2, 4, 8), (4, 8), (0, 1, 3, 5, 6, 7, 8, 9)]","[0, 1, 3, 5, 6, 7, 8, 9]"
F12,10,1e-09,3,"[(2, 4, 8), (4, 8), (0, 1, 3, 5, 6, 7, 8, 9)]","[0, 1, 3, 5, 6, 7, 8, 9]"
F12,20,0.1,5,"[(1, 18, 19), (6, 10, 17), (10, 17), (18, 19), (0, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19]"
F12,20,0.001,5,"[(1, 18, 19), (6, 10, 17), (10, 17), (18, 19), (0, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19]"
F12,20,1e-06,5,"[(1, 18, 19), (6, 10, 17), (10, 17), (18, 19), (0, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19]"
F12,20,1e-09,5,"[(1, 18, 19), (6, 10, 17), (10, 17), (18, 19), (0, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19]"
F12,30,0.1,7,"[(2, 13, 28), (5, 17, 22), (13, 28), (17, 22), (24, 26, 27), (26, 27), (0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29)]","[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29]"
F12,30,0.001,7,"[(2, 13, 28), (5, 17, 22), (13, 28), (17, 22), (24, 26, 27), (26, 27), (0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29)]","[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29]"
F12,30,1e-06,7,"[(2, 13, 28), (5, 17, 22), (13, 28), (17, 22), (24, 26, 27), (26, 27), (0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29)]","[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29]"
