FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F9,10,0.1,4,"[(2, 4, 8, 9), (4, 8, 9), (8, 9), (0, 1, 3, 5, 6, 7, 9)]","[0, 1, 3, 5, 6, 7, 9]"
F9,10,0.001,4,"[(2, 4, 8, 9), (4, 8, 9), (8, 9), (0, 1, 3, 5, 6, 7, 9)]","[0, 1, 3, 5, 6, 7, 9]"
F9,10,1e-06,7,"[(0, 5, 7, 9), (2, 3, 4, 5, 8, 9), (3, 4, 5, 8, 9), (4, 8, 9), (5, 7, 8, 9), (8, 9), (1, 6, 7, 9)]","[1, 6, 7, 9]"
F9,10,1e-09,7,"[(0, 5, 7, 9), (2, 3, 4, 5, 8, 9), (3, 4, 5, 8, 9), (4, 8, 9), (5, 7, 8, 9), (8, 9), (1, 6, 7, 9)]","[1, 6, 7, 9]"
F9,20,0.1,7,"[(1, 8, 18, 19), (6, 10, 13, 17), (8, 18, 19), (10, 13, 17), (13, 17), (18, 19), (0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16, 17, 19]"
F9,20,0.001,7,"[(1, 8, 18, 19), (6, 10, 13, 17), (8, 18, 19), (10, 13, 17), (13, 17), (18, 19), (0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 7, 9, 11, 12, 14, 15, 16, 17, 19]"
F9,20,1e-06,9,"[(0, 11, 12, 15), (1, 8, 18, 19), (6, 10, 13, 17), (8, 18, 19), (10, 13, 17), (12, 14, 15, 16, 19), (13, 17), (18, 19), (2, 3, 4, 5, 7, 9, 11, 14, 15, 16, 17, 19)]","[2, 3, 4, 5, 7, 9, 11, 14, 15, 16, 17, 19]"
F9,20,1e-09,17,"[(0, 3, 5, 7, 9, 11, 12, 14, 15, 16), (1, 8, 10, 18, 19), (3, 5, 9, 11, 14, 15, 16, 19), (5, 7, 9, 11, 14, 15, 16, 19), (6, 10, 13, 17, 19), (7, 11, 12, 14, 15, 16), (8, 10, 12, 15, 18, 19), (9, 11, 14, 15, 16, 19), (10, 13, 17, 19), (11, 12), (12, 14, 15, 16, 19), (13, 15, 17, 19), (14, 16, 19), (15, 16, 19), (17, 19), (18, 19), (2, 4, 16, 19)]","[2, 4, 16, 19]"
F9,30,0.1,10,"[(2, 10, 13, 28), (5, 16, 17, 22), (10, 13, 28), (11, 24, 26, 27), (13, 28), (16, 17, 22), (17, 22), (24, 26, 27), (26, 27), (0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29)]","[0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29]"
F9,30,0.001,10,"[(2, 10, 13, 28), (5, 16, 17, 22), (10, 13, 28), (11, 24, 26, 27), (13, 28), (16, 17, 22), (17, 22), (24, 26, 27), (26, 27), (0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29)]","[0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29]"
