FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F13,10,0.1,3,"[(2, 8), (4, 9), (0, 1, 3, 5, 6, 7)]","[0, 1, 3, 5, 6, 7]"
F13,10,0.001,3,"[(2, 8), (4, 9), (0, 1, 3, 5, 6, 7)]","[0, 1, 3, 5, 6, 7]"
F13,10,1e-06,2,"[(2, 3, 4, 5, 7, 8, 9), (0, 1, 6)]","[0, 1, 6]"
F13,10,1e-09,2,"[(0, 2, 4, 5, 6, 7, 8), (1, 3, 9)]","[1, 3, 9]"
F13,20,0.1,3,"[(1, 18, 19), (6, 13, 17), (0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16)]","[0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16]"
F13,20,0.001,3,"[(1, 18, 19), (6, 13, 17), (0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16)]","[0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16]"
F13,20,1e-06,4,"[(0, 5, 17), (1, 6, 8, 9, 12, 14, 15, 16, 18, 19), (3, 7), (2, 4, 10, 11, 13)]","[2, 4, 10, 11, 13]"
F13,20,1e-09,4,"[(0, 5, 17), (1, 6, 8, 9, 12, 14, 15, 16, 18, 19), (3, 7), (2, 4, 10, 11, 13)]","[2, 4, 10, 11, 13]"
F13,30,0.1,6,"[(2, 28), (5, 16, 22), (10, 13), (11, 27), (24, 26), (0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 17, 18, 19, 20, 21, 23, 25, 29)]","[0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 17, 18, 19, 20, 21, 23, 25, 29]"
F13,30,0.001,6,"[(2, 28), (5, 16, 22), (10, 13), (11, 27), (24, 26), (0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 17, 18, 19, 20, 21, 23, 25, 29)]","[0, 1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 17, 18, 19, 20, 21, 23, 25, 29]"
F13,30,1e-06,5,"[(0, 15, 21), (2, 5, 10, 13, 16, 17, 24, 27, 28), (3, 4, 6, 7, 9, 25, 29), (22, 26), (1, 8, 11, 12, 14, 18, 19, 20, 23)]","[1, 8, 11, 12, 14, 18, 19, 20, 23]"
F13,30,1e-09,5,"[(0, 15, 21), (2, 5, 10, 13, 16, 17, 24, 27, 28), (3, 4, 6, 7, 9, 25, 29), (22, 26), (1, 8, 11, 12, 14, 18, 19, 20, 23)]","[1, 8, 11, 12, 14, 18, 19, 20, 23]"
F13,40,0.1,10,"[(2, 37, 39), (4, 25), (8, 36), (10, 15), (11, 28), (16, 34), (18, 29), (20, 22), (27, 35), (0, 1, 3, 5, 6, 7, 9, 12, 13, 14, 17, 19, 21, 23, 24, 26, 30, 31, 32, 33, 38)]","[0, 1, 3, 5, 6, 7, 9, 12, 13, 14, 17, 19, 21, 23, 24, 26, 30, 31, 32, 33, 38]"
F13,40,0.001,10,"[(2, 37, 39), (4, 25), (8, 36), (10, 15), (11, 28), (16, 34), (18, 29), (20, 22), (27, 35), (0, 1, 3, 5, 6, 7, 9, 12, 13, 14, 17, 19, 21, 23, 24, 26, 30, 31, 32, 33, 38)]","[0, 1, 3, 5, 6, 7, 9, 12, 13, 14, 17, 19, 21, 23, 24, 26, 30, 31, 32, 33, 38]"
F13,40,1e-06,4,"[(0, 1, 3, 5, 6, 7, 9, 12, 13, 14, 17, 19, 21, 23, 24, 26, 31, 32, 33, 38), (2, 4, 10, 11, 15, 22, 25, 29, 30, 35, 37, 39), (8, 16, 34, 36), (18, 20, 27, 28)]","[18, 20, 27, 28]"
F13,40,1e-09,4,"[(0, 1, 3, 5, 6, 7, 9, 12, 13, 14, 17, 19, 21, 23, 24, 26, 31, 32, 33, 38), (2, 4, 10, 11, 15, 22, 25, 29, 30, 35, 37, 39), (8, 16, 34, 36), (18, 20, 27, 28)]","[18, 20, 27, 28]"
