FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F4,10,0.1,8,"[(0, 1, 2, 3, 6, 7, 8, 9), (1, 3, 7, 9), (2, 3, 4, 6, 7, 8, 9), (3, 6, 7, 8, 9), (4, 8, 9), (6, 7, 8, 9), (8, 9), (5, 7, 9)]","[5, 7, 9]"
F4,10,0.001,8,"[(0, 1, 2, 3, 6, 7, 8, 9), (1, 3, 7, 8, 9), (2, 3, 4, 6, 7, 8, 9), (3, 6, 7, 8, 9), (4, 8, 9), (6, 7, 8, 9), (8, 9), (5, 7, 9)]","[5, 7, 9]"
F4,10,1e-06,8,"[(0, 1, 2, 3, 6, 7, 8, 9), (1, 3, 7, 8, 9), (2, 3, 4, 6, 7, 8, 9), (3, 6, 7, 8, 9), (4, 8, 9), (6, 7, 8, 9), (8, 9), (5, 7, 9)]","[5, 7, 9]"
F4,10,1e-09,8,"[(0, 1, 2, 3, 6, 7, 8, 9), (1, 3, 7, 8, 9), (2, 3, 4, 6, 7, 8, 9), (3, 6, 7, 8, 9), (4, 8, 9), (6, 7, 8, 9), (8, 9), (5, 7, 9)]","[5, 7, 9]"
F4,20,0.1,4,"[(1, 2, 5, 6, 7, 8, 10, 18, 19), (8, 18, 19), (18, 19), (0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19)]","[0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]"
F4,20,0.001,19,"[(0, 1, 2, 3, 7, 8, 9, 14, 15, 18), (1, 2, 5, 6, 7, 8, 10, 18, 19), (2, 3, 4, 5, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18), (3, 4, 7, 8, 9, 14, 15, 16, 18), (4, 5, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18), (5, 7, 8, 9, 14, 15, 16, 18), (6, 8), (7, 8, 9, 10, 14, 15, 16, 17, 18), (8, 9, 10, 15, 16, 18, 19), (9, 14, 15, 16, 18), (10, 11, 13, 14, 15, 16, 17, 18), (11, 13, 14, 15, 16, 17), (13, 14, 15, 16, 17, 18), (14, 15, 16, 17), (15, 18), (16, 18), (17, 18), (18, 19), (12, 19)]","[12, 19]"
F4,20,1e-06,19,"[(0, 1, 2, 3, 7, 8, 9, 14, 15, 18), (1, 2, 5, 6, 7, 8, 10, 18, 19), (2, 3, 4, 5, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18), (3, 4, 7, 8, 9, 14, 15, 16, 18), (4, 5, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18), (5, 7, 8, 9, 14, 15, 16, 18), (6, 8), (7, 8, 9, 10, 14, 15, 16, 17, 18), (8, 9, 10, 15, 16, 18, 19), (9, 14, 15, 16, 18), (10, 11, 13, 14, 15, 16, 17, 18), (11, 13, 14, 15, 16, 17), (13, 14, 15, 16, 17, 18), (14, 15, 16, 17), (15, 18), (16, 18), (17, 18), (18, 19), (12, 19)]","[12, 19]"
F4,20,1e-09,19,"[(0, 1, 2, 3, 7, 8, 9, 14, 15, 18), (1, 2, 5, 6, 7, 8, 10, 18, 19), (2, 3, 4, 5, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18), (3, 4, 7, 8, 9, 14, 15, 16, 18), (4, 5, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18), (5, 7, 8, 9, 14, 15, 16, 18), (6, 8), (7, 8, 9, 10, 14, 15, 16, 17, 18), (8, 9, 10, 15, 16, 18, 19), (9, 14, 15, 16, 18), (10, 11, 13, 14, 15, 16, 17, 18), (11, 13, 14, 15, 16, 17), (13, 14, 15, 16, 17, 18), (14, 15, 16, 17), (15, 18), (16, 18), (17, 18), (18, 19), (12, 19)]","[12, 19]"
F4,30,0.1,4,"[(2, 5, 6, 9, 10, 11, 13, 14, 16, 19, 26, 27, 28), (10, 13, 28), (13, 28), (0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
F4,30,0.001,23,"[(0, 2), (1, 2, 10, 17), (2, 5, 6, 9, 10, 11, 13, 14, 16, 19, 26, 27, 28), (3, 6, 7, 8, 10, 17, 20, 24, 27), (4, 6, 7, 8, 10, 14, 16, 17, 20, 24, 26, 27), (5, 6, 7, 8, 9, 10, 14, 16, 17, 20, 24, 26, 27), (6, 7, 10, 17, 24), (7, 8, 9, 10, 14, 15, 16, 17, 18, 20, 22, 23, 24, 26, 27, 29), (8, 9, 10, 14, 15, 16, 17, 18, 20, 22, 23, 24, 26, 27, 29), (9, 10, 14, 16, 17, 20, 24, 27), (10, 13, 28), (11, 21), (13, 28), (14, 16, 17, 20, 24, 26, 27), (15, 17, 24), (16, 21), (17, 21), (18, 20, 23, 24, 26, 27), (19, 20, 22, 23, 24, 25, 26, 27, 29), (20, 21), (21, 22, 23, 24, 26, 27, 29), (23, 24, 27), (12, 22, 24, 25, 26, 27, 28, 29)]","[12, 22, 24, 25, 26, 27, 28, 29]"
